Symbol,Name,Sector,GICS Sub-Industry
MMM,3M,Industrials,Industrial Conglomerates
AOS,A. O. Smith,Industrials,Building Products
ABT,Abbott,Health Care,Health Care Equipment
ABBV,AbbVie,Health Care,Biotechnology
AMD,Advanced Micro Devices,Information Technology,Semiconductors
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac,Financials,Life & Health Insurance
AKAM,Akamai,Information Technology,Internet Services & Infrastructure
ALB,Albemarle Corporation,Materials,Specialty Chemicals
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ALGN,Align Technology,Health Care,Health Care Supplies
ALLE,Allegion,Industrials,Building Products
LNT,Alliant Energy,Utilities,Electric Utilities
ALL,Allstate,Financials,Property & Casualty Insurance
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
MO,Altria,Consumer Staples,Tobacco
AMZN,Amazon,Consumer Discretionary,Broadline Retail
AEE,Ameren,Utilities,Multi-Utilities
AAL,American Airlines Group,Industrials,Passenger Airlines
AEP,American Electric Power,Utilities,Electric Utilities
AXP,American Express,Financials,Consumer Finance
AIG,American International Group,Financials,Multi-line Insurance
AMT,American Tower,Real Estate,Telecom Tower REITs
AWK,American Water Works,Utilities,Water Utilities
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
AME,Ametek,Industrials,Electrical Components & Equipment
AMGN,Amgen,Health Care,Biotechnology
APH,Amphenol,Information Technology,Electronic Components
ANSS,Ansys,Information Technology,Application Software
AON,Aon,Financials,Insurance Brokers
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services
ANET,Arista Networks,Information Technology,Communications Equipment
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AIZ,Assurant,Financials,Multi-line Insurance
T,AT&T,Communication Services,Integrated Telecommunication Services
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AXON,Axon Enterprise,Industrials,Aerospace & Defense
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAC,Bank of America,Financials,Diversified Banks
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks
BAX,Baxter International,Health Care,Health Care Equipment
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services
BIIB,Biogen,Health Care,Biotechnology
BLK,BlackRock,Financials,Asset Management & Custody Banks
BX,Blackstone,Financials,Asset Management & Custody Banks
BA,Boeing,Industrials,Aerospace & Defense
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment
BSX,Boston Scientific,Health Care,Health Care Equipment
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
